Sample Number (60 samples per second),Pv (l/m),duty (l/m),loopTime (ms)
662,0.54,255.0,90.0
663,0.54,255.0,83.0
664,0.54,255.0,90.0
665,0.53,255.0,100.0
666,0.53,255.0,90.0
667,0.53,255.0,90.0
668,0.53,255.0,90.0
669,0.53,255.0,90.0
670,0.53,255.0,83.0
671,0.52,255.0,90.0
672,0.52,255.0,100.0
673,0.52,255.0,90.0
674,0.52,255.0,90.0
675,0.52,255.0,100.0
676,0.51,255.0,90.0
677,0.51,255.0,83.0
678,0.51,255.0,90.0
679,0.51,255.0,90.0
680,0.51,255.0,90.0
681,0.5,255.0,90.0
682,0.5,255.0,100.0
683,0.5,255.0,90.0
684,0.5,255.0,90.0
685,0.5,255.0,90.0
686,0.5,255.0,90.0
687,0.49,255.0,90.0
688,0.49,255.0,83.0
689,0.49,255.0,100.0
690,0.49,255.0,83.0
691,0.49,255.0,90.0
692,0.49,255.0,90.0
693,0.48,255.0,100.0
694,0.48,255.0,90.0
695,0.48,255.0,83.0
696,0.48,255.0,100.0
697,0.48,255.0,83.0
698,0.48,255.0,90.0
699,0.47,255.0,90.0
700,0.47,255.0,100.0
701,0.47,255.0,90.0
702,0.47,255.0,90.0
703,0.47,255.0,100.0
704,0.47,255.0,83.0
705,0.47,255.0,90.0
706,0.46,255.0,83.0
707,0.46,255.0,100.0
708,0.46,255.0,83.0
709,0.46,255.0,90.0
710,0.46,255.0,100.0
711,0.46,255.0,90.0
712,0.45,255.0,90.0
713,0.45,255.0,83.0
714,0.45,255.0,100.0
715,0.45,255.0,83.0
716,0.45,255.0,90.0
717,0.45,255.0,100.0
718,0.45,255.0,90.0
719,0.44,255.0,90.0
720,0.44,255.0,90.0
721,0.44,255.0,100.0
722,0.44,255.0,83.0
723,0.44,255.0,90.0
724,0.44,255.0,90.0
725,0.44,255.0,90.0
726,0.43,255.0,83.0
727,0.43,255.0,90.0
728,0.43,255.0,100.0
729,0.43,255.0,90.0
730,0.43,255.0,90.0
731,0.43,255.0,83.0
732,0.43,255.0,90.0
733,0.43,255.0,83.0
734,0.42,255.0,90.0
735,0.42,255.0,100.0
736,0.42,255.0,90.0
737,0.42,255.0,90.0
738,0.42,255.0,90.0
739,0.42,255.0,90.0
740,0.42,255.0,83.0
741,0.41,255.0,90.0
742,0.41,255.0,90.0
743,0.41,255.0,90.0
744,0.41,255.0,90.0
745,0.41,255.0,90.0
746,0.41,255.0,100.0
747,0.41,255.0,90.0
748,0.41,255.0,90.0
749,0.4,255.0,90.0
750,0.4,255.0,90.0
751,0.4,255.0,83.0
752,0.4,255.0,90.0
753,0.4,255.0,100.0
754,0.4,255.0,90.0
755,0.4,255.0,90.0
756,0.4,255.0,100.0
757,0.4,255.0,90.0
