Sample Number (90 samples per second),fluxo (l/m),setPoint (l/m),duty (),Stability (),frequency ()
420,10.2,5.0,255.0,0.0,12.0
421,10.2,5.0,255.0,0.0,11.0
422,10.31,5.0,255.0,0.0,12.0
423,10.41,5.0,255.0,0.0,11.0
424,10.52,5.0,255.0,0.0,10.0
425,10.51,5.0,255.0,0.0,11.0
426,10.62,5.0,255.0,0.0,11.0
427,10.73,5.0,255.0,0.0,11.0
428,10.71,5.0,255.0,0.0,11.0
429,10.82,5.0,255.0,0.0,11.0
430,10.93,5.0,255.0,0.0,11.0
431,10.91,5.0,255.0,0.0,11.0
432,11.02,5.0,255.0,0.0,11.0
433,11.11,5.0,255.0,0.0,11.0
434,11.22,5.0,255.0,0.0,12.0
435,11.32,5.0,255.0,0.0,10.0
436,11.29,5.0,255.0,0.0,11.0
437,11.4,5.0,255.0,0.0,11.0
438,11.5,5.0,255.0,0.0,11.0
439,11.6,5.0,255.0,0.0,12.0
440,11.58,5.0,255.0,0.0,10.0
441,11.66,5.0,255.0,0.0,11.0
442,11.77,5.0,255.0,0.0,11.0
443,11.86,5.0,255.0,0.0,10.0
444,11.84,5.0,255.0,0.0,12.0
445,11.94,5.0,255.0,0.0,11.0
446,12.04,5.0,255.0,0.0,11.0
447,12.12,5.0,255.0,0.0,11.0
448,12.33,5.0,255.0,0.0,10.0
449,12.42,5.0,255.0,0.0,12.0
450,12.51,5.0,255.0,0.0,11.0
451,12.61,5.0,255.0,0.0,11.0
452,12.68,5.0,255.0,0.0,11.0
453,12.65,5.0,255.0,0.0,11.0
454,12.75,5.0,255.0,0.0,11.0
455,12.82,5.0,255.0,0.0,11.0
456,12.92,5.0,255.0,0.0,11.0
457,12.99,5.0,255.0,0.0,11.0
458,12.95,5.0,255.0,0.0,11.0
459,13.04,5.0,255.0,0.0,10.0
460,13.12,5.0,255.0,0.0,11.0
461,13.21,5.0,255.0,0.0,12.0
462,13.29,5.0,255.0,0.0,11.0
463,13.25,5.0,255.0,0.0,12.0
464,13.33,5.0,255.0,0.0,10.0
465,13.4,5.0,255.0,0.0,11.0
466,13.48,5.0,255.0,0.0,11.0
